,BA.1,BA.2,BA.2.75,BA.5,BQ.1.1,D614G,XBB
Seq68,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq69,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq70,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq71,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq72,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq73,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq74,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq75,0.9869781127332753,0.9863569175649987,0.9873188068717906,0.9823708699869923,0.9847171679088766,0.9875427135818292,0.9904463898696305
Seq76,0.9574048336801524,0.9482377210063774,0.9541743829548383,0.9591976929020243,0.9719565053246274,0.9409252571837877,0.9695069888838558
Seq77,0.9574048336801524,0.9482377210063774,0.9541743829548383,0.9591976929020243,0.9719565053246274,0.9409252571837877,0.9695069888838558
Seq78,0.9574048336801524,0.9482377210063774,0.9541743829548383,0.9591976929020243,0.9719565053246274,0.9409252571837877,0.9695069888838558
Seq79,0.9574048336801524,0.9482377210063774,0.9541743829548383,0.9591976929020243,0.9719565053246274,0.9409252571837877,0.9695069888838558
Seq80,0.9574048336801524,0.9482377210063774,0.9541743829548383,0.9591976929020243,0.9719565053246274,0.9409252571837877,0.9695069888838558
Seq81,0.9574048336801524,0.9482377210063774,0.9541743829548383,0.9591976929020243,0.9719565053246274,0.9409252571837877,0.9695069888838558
Seq82,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq83,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq84,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq85,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq86,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq87,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq88,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq89,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq90,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq91,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq92,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq93,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq94,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq95,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq96,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq97,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq98,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq99,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq100,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq101,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq102,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq103,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq104,0.9840560937318216,0.9852845063770833,0.9854442873129293,0.9814401482755032,0.9915418585565496,0.9827877115429711,0.9859760730525811
Seq105,0.7837278612934655,0.7871859370224308,0.770853538047351,0.805802294732857,0.8007288372430853,0.8416003711076845,0.72304596956314
